experiment_id,noise_regime,track,seed,dataset,model,epochs,batch_size,lr,frobenius_error,condition_number,spectral_norm_inv,training_duration_sec,git_commit_sha,test_top1_acc,test_top5_acc,raw_test_ece,raw_ada_ece,raw_brier,temp_clean,ts_clean_test_ece,ts_clean_test_brier,temp_corrupted,ts_corrupted_test_ece,ts_corrupted_test_brier,val_calibration_delta,peak_val_acc,peak_epoch,final_val_acc,memorization_drop
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-CE-S1337,asymmetric_0.4,CE,1337,cifar10,PreActResNet18,30,128,0.05,0.0,5.537319187990758,5.000000000000003,1053.7049989700317,35e25d87b7e3feedbf6c121e1087789da5448ca3,81.91,99.48,0.0689258858919144,0.07032285389900206,0.2832498890897621,1.4798702001571655,0.08202503687441347,0.2881668769211813,1.5393186807632446,0.0835671874642372,0.2889548704388106,0.0015421505898237375,84.96000000000001,23,82.3,2.660000000000011
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-CE-S2024,asymmetric_0.4,CE,2024,cifar10,PreActResNet18,30,128,0.05,0.0,5.537319187990758,5.000000000000003,1052.6776976585388,35e25d87b7e3feedbf6c121e1087789da5448ca3,82.13,99.46000000000001,0.07667213965952399,0.07577313754856588,0.284776438860182,1.475235939025879,0.08815794873237608,0.29021307812820213,1.5058873891830444,0.08919162372201682,0.29062165038544724,0.0010336749896407427,84.54,21,82.22,2.3200000000000074
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-CE-S42,asymmetric_0.4,CE,42,cifar10,PreActResNet18,30,128,0.05,0.0,5.537319187990758,5.000000000000003,1045.1785128116608,35e25d87b7e3feedbf6c121e1087789da5448ca3,80.81,99.44,0.06009760918915273,0.057670575892925256,0.2849432293124745,1.4877525568008423,0.0644224818855524,0.28810615609791773,1.5236215591430664,0.0651109838396311,0.2884923112010741,0.0006885019540786991,83.3,23,81.42,1.8799999999999955
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-FORWARDCORRECTION_ANCHORT-S1337,asymmetric_0.4,ForwardCorrection_AnchorT,1337,cifar10,PreActResNet18,30,128,0.05,0.21391861564152848,5.410301810949369,4.906896234113005,1048.7495696544647,35e25d87b7e3feedbf6c121e1087789da5448ca3,86.79,99.64,0.042031511801481264,0.041614194440841676,0.20029612916816872,1.4952727556228638,0.011641079503297814,0.19540602084156877,1.7000519037246704,0.026522855904698366,0.19667401521243078,0.014881776401400553,88.12,26,87.86,0.2600000000000051
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-FORWARDCORRECTION_ANCHORT-S2024,asymmetric_0.4,ForwardCorrection_AnchorT,2024,cifar10,PreActResNet18,30,128,0.05,0.33762728734008973,8.302226343671903,7.46873073464419,1048.7333941459656,35e25d87b7e3feedbf6c121e1087789da5448ca3,82.04,99.57000000000001,0.12263426761925217,0.12263424331545827,0.32230281859626897,1.7459925413131714,0.0974535683006048,0.3140990673269619,1.800584077835083,0.09655554241687059,0.31375724609068706,-0.0008980258837342076,83.74,26,83.56,0.1799999999999926
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-FORWARDCORRECTION_ANCHORT-S42,asymmetric_0.4,ForwardCorrection_AnchorT,42,cifar10,PreActResNet18,30,128,0.05,0.33642620106714305,14.46497124657228,13.150744773235937,1050.8103313446045,35e25d87b7e3feedbf6c121e1087789da5448ca3,82.05,99.0,0.12309707779288294,0.12297965984940526,0.3217442563027476,1.7509299516677856,0.088331201633811,0.31013893921398866,1.7995625734329224,0.08723968532532456,0.3096834463322577,-0.0010915163084864454,82.96000000000001,24,82.32000000000001,0.6400000000000006
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-FORWARDCORRECTION_BADT-S1337,asymmetric_0.4,ForwardCorrection_BadT,1337,cifar10,PreActResNet18,30,128,0.05,1.284523257866513,10.13367129564329,9.999999999999996,1050.8090517520905,35e25d87b7e3feedbf6c121e1087789da5448ca3,87.16,99.59,0.062200940990448,0.06115205283761024,0.19839910613298076,1.5571684837341309,0.019340995259583018,0.18626615575654745,1.760396957397461,0.013199314738810076,0.1851120264663992,-0.006141680520772942,88.36,29,88.14,0.21999999999999886
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-FORWARDCORRECTION_BADT-S2024,asymmetric_0.4,ForwardCorrection_BadT,2024,cifar10,PreActResNet18,30,128,0.05,1.284523257866513,10.13367129564329,9.999999999999996,1049.881838798523,35e25d87b7e3feedbf6c121e1087789da5448ca3,86.87,99.51,0.06421136396527292,0.06410420852899551,0.200112356109539,1.5641380548477173,0.018683406400680565,0.18793171785928403,1.7642053365707397,0.009319258967041938,0.18697544143643421,-0.009364147433638626,88.02,28,87.56,0.45999999999999375
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-FORWARDCORRECTION_BADT-S42,asymmetric_0.4,ForwardCorrection_BadT,42,cifar10,PreActResNet18,30,128,0.05,1.284523257866513,10.13367129564329,9.999999999999996,1051.0234529972076,35e25d87b7e3feedbf6c121e1087789da5448ca3,87.08,99.56,0.05986712845861912,0.05986842785477637,0.20015788293484582,1.5470393896102905,0.01966529042571782,0.18917696337672832,1.750204086303711,0.008818193094432316,0.18824255434090245,-0.010847097331285504,87.34,25,87.02,0.3200000000000074
PILOT-CIFAR10-PreActResNet18-ASYMMETRIC_0.4-FORWARDCORRECTION_CONFIDENTLEARNINGT-S1337,asymmetric_0.4,ForwardCorrection_ConfidentLearningT,1337,cifar10,PreActResNet18,30,128,0.05,0.8364707949078604,36.18034432846268,34.587310461453924,1048.9930999279022,35e25d87b7e3feedbf6c121e1087789da5448ca3,81.68,96.87,0.13984457526803015,0.13984457871317865,0.32506229692802147,1.7801661491394043,0.08399552432745697,0.3070095634408678,1.8228768110275269,0.08023244680911304,0.30634017925899026,-0.003763077518343927,82.74,24,82.58,0.1599999999999966
